Name,URL of sub-project,Contributors,# of test files,# of test units,# of test units with mocks,Total # of more than one class mocked per test,Mocks of other mocks
apache/kylin,"https://github.com/apache/kylin/tree/master/query/
",188,12,30,0,0,0
apache/kylin,"https://github.com/apache/kylin/tree/master/server-base/
",188,13,18,2,1,0
apache/kylin,"https://github.com/apache/kylin/tree/master/source-hive/
",188,3,4,1,1,0
apache/kylin,"https://github.com/apache/kylin/tree/master/source-jdbc/
",188,7,19,3,0,0
apache/kylin,"https://github.com/apache/kylin/tree/master/storage-hbase/
",188,17,47,4,0,0
apache/kylin,"https://github.com/apache/kylin/tree/master/stream-coordinator/
",188,4,15,4,1,0
apache/logging-log4j2,"https://github.com/apache/logging-log4j2/tree/master/log4j-cassandra/
",123,0,0,0,0,0
apache/logging-log4j2,"https://github.com/apache/logging-log4j2/tree/master/log4j-iostreams/
",123,22,96,2,0,0
apache/logging-log4j2,"https://github.com/apache/logging-log4j2/tree/master/log4j-jakarta-web/
",123,8,41,25,0,0
apache/logging-log4j2,"https://github.com/apache/logging-log4j2/tree/master/log4j-mongodb3/
",123,5,6,0,0,0
apache/logging-log4j2,"https://github.com/apache/logging-log4j2/tree/master/log4j-mongodb4/
",123,5,6,0,0,0
apache/logging-log4j2,"https://github.com/apache/logging-log4j2/tree/master/log4j-web/
",123,8,40,25,0,0
apache/maven,"https://github.com/apache/maven/tree/master/maven-compat/
",151,42,142,2,0,0
apache/maven,"https://github.com/apache/maven/tree/master/maven-core/
",151,57,344,9,3,0
apache/maven,"https://github.com/apache/maven/tree/master/maven-embedder/
",151,6,36,4,4,0
apache/maven,"https://github.com/apache/maven/tree/master/maven-model-transform/
",151,7,28,0,0,0
apache/maven,"https://github.com/apache/maven/tree/master/maven-resolver-provider/
",151,6,26,1,0,0
apache/maven,"https://github.com/apache/maven/tree/master/maven-toolchain-builder/
",151,3,17,0,0,0
apache/maven-enforcer,"https://github.com/apache/maven-enforcer/tree/master/enforcer-rules/
",50,5,36,4,0,0
apache/maven-enforcer,"https://github.com/apache/maven-enforcer/tree/master/maven-enforcer-plugin/
",50,0,0,0,0,0
apache/maven-plugin-tools,"https://github.com/apache/maven-plugin-tools/tree/master/maven-plugin-tools-annotations/
",33,1,2,1,0,0
apache/maven-plugin-tools,"https://github.com/apache/maven-plugin-tools/tree/master/maven-script/maven-script-ant/
",33,1,1,0,0,0
apache/maven-release,"https://github.com/apache/maven-release/tree/master/maven-release-manager/
",42,54,432,78,0,0
apache/maven-release,"https://github.com/apache/maven-release/tree/master/maven-release-plugin/
",42,4,0,0,0,0
apache/maven-resolver,"https://github.com/apache/maven-resolver/tree/master/maven-resolver-api/
",33,15,77,1,0,0
apache/maven-resolver,"https://github.com/apache/maven-resolver/tree/master/maven-resolver-impl/
",33,31,207,0,0,0
apache/maven-resolver,"https://github.com/apache/maven-resolver/tree/master/maven-resolver-named-locks-hazelcast/
",33,0,0,0,0,0
apache/maven-resolver,"https://github.com/apache/maven-resolver/tree/master/maven-resolver-named-locks/
",33,4,3,0,0,0
apache/maven-scm,"https://github.com/apache/maven-scm/tree/master/maven-scm-providers/maven-scm-providers-svn/maven-scm-provider-svnexe/
",57,26,2,1,0,0
apache/maven-surefire,"https://github.com/apache/maven-surefire/tree/master/maven-failsafe-plugin/
",117,4,14,0,0,0
apache/maven-surefire,"https://github.com/apache/maven-surefire/tree/master/maven-surefire-common/
",117,47,226,106,49,0
apache/maven-surefire,"https://github.com/apache/maven-surefire/tree/master/surefire-api/
",117,23,130,28,8,0
apache/maven-surefire,"https://github.com/apache/maven-surefire/tree/master/surefire-booter/
",117,13,120,13,8,0
apache/maven-surefire,"https://github.com/apache/maven-surefire/tree/master/surefire-extensions-api/
",117,2,1,1,1,0
apache/maven-surefire,"https://github.com/apache/maven-surefire/tree/master/surefire-its/
",117,3,2,0,0,0
apache/maven-surefire,"https://github.com/apache/maven-surefire/tree/master/surefire-logger-api/
",117,4,11,1,0,0
apache/maven-surefire,"https://github.com/apache/maven-surefire/tree/master/surefire-providers/surefire-junit-platform/
",117,5,77,6,0,0
apache/maven-surefire,"https://github.com/apache/maven-surefire/tree/master/surefire-providers/surefire-testng/
",117,6,0,0,0,0
apache/maven-surefire,"https://github.com/apache/maven-surefire/tree/master/surefire-its/src/test/resources/surefire-1036-NonFilterableJUnitRunnerWithCategories/
",117,1,0,0,0,0
apache/maven-surefire,"https://github.com/apache/maven-surefire/tree/master/surefire-its/src/test/resources/surefire-673-mockito/
",117,0,0,0,0,0
apache/metron,"https://github.com/apache/metron/tree/master/metron-analytics/metron-profiler-client/
",60,6,44,0,0,0
apache/metron,"https://github.com/apache/metron/tree/master/metron-analytics/metron-profiler-common/
",60,10,63,0,0,0
apache/metron,"https://github.com/apache/metron/tree/master/metron-analytics/metron-profiler-storm/
",60,8,43,5,1,0
apache/metron,"https://github.com/apache/metron/tree/master/metron-interface/metron-rest/
",60,43,253,132,61,0
apache/metron,"https://github.com/apache/metron/tree/master/metron-platform/metron-data-management/
",60,14,46,3,0,0
apache/metron,"https://github.com/apache/metron/tree/master/metron-platform/metron-job/
",60,2,9,7,3,0
apache/metron,"https://github.com/apache/metron/tree/master/metron-platform/metron-pcap-backend/
",60,3,24,0,0,0
apache/metron,"https://github.com/apache/metron/tree/master/metron-platform/metron-pcap/
",60,12,48,9,9,0
apache/metron,"https://github.com/apache/metron/tree/master/metron-stellar/stellar-zeppelin/
",60,3,12,0,0,0
apache/metron,"https://github.com/apache/metron/tree/master/metron-platform/metron-common-streaming/metron-common-storm/
",60,5,12,10,0,0
apache/metron,"https://github.com/apache/metron/tree/master/metron-platform/metron-elasticsearch/metron-elasticsearch-common/
",60,12,32,13,5,0
apache/metron,"https://github.com/apache/metron/tree/master/metron-platform/metron-enrichment/metron-enrichment-storm/
",60,2,2,0,0,0
apache/metron,"https://github.com/apache/metron/tree/master/metron-platform/metron-hbase/metron-hbase-common/
",60,1,8,3,2,0
apache/metron,"https://github.com/apache/metron/tree/master/metron-platform/metron-indexing/metron-indexing-common/
",60,11,115,14,12,0
apache/metron,"https://github.com/apache/metron/tree/master/metron-platform/metron-solr/metron-solr-common/
",60,14,69,19,7,0
apache/mina,"https://github.com/apache/mina/tree/master/coap/
",15,6,24,1,0,0
apache/mina,"https://github.com/apache/mina/tree/master/codec/
",15,15,87,0,0,0
apache/mina,"https://github.com/apache/mina/tree/master/core/
",15,23,111,36,7,0
apache/nifi,"https://github.com/apache/nifi/tree/master/nifi-nar-bundles/nifi-azure-bundle/nifi-azure-reporting-task/
",324,0,0,0,0,0
apache/nifi,"https://github.com/apache/nifi/tree/master/nifi-nar-bundles/nifi-enrich-bundle/nifi-enrich-processors/
",324,0,0,0,0,0
apache/nifi,"https://github.com/apache/nifi/tree/master/nifi-nar-bundles/nifi-gcp-bundle/nifi-gcp-processors/
",324,12,62,37,29,0
apache/nifi,"https://github.com/apache/nifi/tree/master/nifi-nar-bundles/nifi-grpc-bundle/nifi-grpc-processors/
",324,0,0,0,0,0
apache/nifi-registry,"https://github.com/apache/nifi-registry/tree/master/nifi-registry-core/nifi-registry-framework/
",36,3,49,0,0,0
apache/nifi-registry,"https://github.com/apache/nifi-registry/tree/master/nifi-registry-core/nifi-registry-jetty/
",36,0,0,0,0,0
apache/nifi-registry,"https://github.com/apache/nifi-registry/tree/master/nifi-registry-toolkit/nifi-registry-toolkit-persistence/
",36,1,1,0,0,0
apache/nifi-registry,"https://github.com/apache/nifi-registry/tree/master/nifi-registry-core/nifi-registry-revision/nifi-registry-revision-spring-jdbc/
",36,0,0,0,0,0
apache/nifi-registry,"https://github.com/apache/nifi-registry/tree/master/nifi-registry-extensions/nifi-registry-aws/nifi-registry-aws-extensions/
",36,0,0,0,0,0
apache/nifi-registry,"https://github.com/apache/nifi-registry/tree/master/nifi-registry-extensions/nifi-registry-ranger/nifi-registry-ranger-plugin/
",36,0,0,0,0,0
apache/olingo-odata2,"https://github.com/apache/olingo-odata2/tree/master/odata2-lib/odata-core/
",16,119,1570,107,19,0
apache/olingo-odata2,"https://github.com/apache/olingo-odata2/tree/master/odata2-lib/odata-ref/
",16,9,48,0,0,0
apache/olingo-odata4,"https://github.com/apache/olingo-odata4/tree/master/lib/client-core/
",26,28,309,5,0,0
apache/olingo-odata4,"https://github.com/apache/olingo-odata4/tree/master/lib/commons-core/
",26,73,398,130,17,0
apache/olingo-odata4,"https://github.com/apache/olingo-odata4/tree/master/lib/server-core-ext/
",26,7,116,15,1,0
apache/olingo-odata4,"https://github.com/apache/olingo-odata4/tree/master/lib/server-core/
",26,45,449,50,19,0
apache/oozie,"https://github.com/apache/oozie/tree/master/client/
",17,0,0,0,0,0
apache/oozie,"https://github.com/apache/oozie/tree/master/core/
",17,5,0,0,0,0
apache/oozie,"https://github.com/apache/oozie/tree/master/server/
",17,0,0,0,0,0
apache/oozie,"https://github.com/apache/oozie/tree/master/tools/
",17,0,0,0,0,0
apache/oozie,"https://github.com/apache/oozie/tree/master/fluent-job/fluent-job-api/
",17,0,0,0,0,0
apache/oozie,"https://github.com/apache/oozie/tree/master/fluent-job/fluent-job-client/
",17,0,0,0,0,0
apache/oozie,"https://github.com/apache/oozie/tree/master/sharelib/hcatalog/
",17,0,0,0,0,0
apache/oozie,"https://github.com/apache/oozie/tree/master/sharelib/hive/
",17,0,0,0,0,0
apache/oozie,"https://github.com/apache/oozie/tree/master/sharelib/hive2/
",17,0,0,0,0,0
apache/oozie,"https://github.com/apache/oozie/tree/master/sharelib/oozie/
",17,0,0,0,0,0
apache/oozie,"https://github.com/apache/oozie/tree/master/sharelib/sqoop/
",17,0,0,0,0,0
apache/openmeetings,"https://github.com/apache/openmeetings/tree/master/openmeetings-web/
",13,5,0,0,0,0
apache/opennlp,"https://github.com/apache/opennlp/tree/master/opennlp-tools/
",39,192,802,0,0,0
apache/ozone,"https://github.com/apache/ozone/tree/master/hadoop-hdds/client/
",138,0,0,0,0,0
apache/ozone,"https://github.com/apache/ozone/tree/master/hadoop-hdds/common/
",138,0,0,0,0,0
apache/ozone,"https://github.com/apache/ozone/tree/master/hadoop-hdds/container-service/
",138,0,0,0,0,0
apache/ozone,"https://github.com/apache/ozone/tree/master/hadoop-hdds/framework/
",138,1,7,5,0,0
apache/ozone,"https://github.com/apache/ozone/tree/master/hadoop-hdds/server-scm/
",138,0,0,0,0,0
apache/ozone,"https://github.com/apache/ozone/tree/master/hadoop-hdds/tools/
",138,0,0,0,0,0
apache/ozone,"https://github.com/apache/ozone/tree/master/hadoop-ozone/client/
",138,1,1,0,0,0
apache/ozone,"https://github.com/apache/ozone/tree/master/hadoop-ozone/integration-test/
",138,1,6,0,0,0
apache/ozone,"https://github.com/apache/ozone/tree/master/hadoop-ozone/ozone-manager/
",138,0,0,0,0,0
apache/ozone,"https://github.com/apache/ozone/tree/master/hadoop-ozone/ozonefs-common/
",138,0,0,0,0,0
apache/ozone,"https://github.com/apache/ozone/tree/master/hadoop-ozone/recon/
",138,2,0,0,0,0
apache/ozone,"https://github.com/apache/ozone/tree/master/hadoop-ozone/s3gateway/
",138,0,0,0,0,0
apache/ozone,"https://github.com/apache/ozone/tree/master/hadoop-ozone/tools/
",138,0,0,0,0,0
apache/parquet-mr,"https://github.com/apache/parquet-mr/tree/master/parquet-column/
",154,14,96,0,0,0
apache/parquet-mr,"https://github.com/apache/parquet-mr/tree/master/parquet-hadoop/
",154,13,59,2,0,0
apache/parquet-mr,"https://github.com/apache/parquet-mr/tree/master/parquet-protobuf/
",154,5,84,30,0,0
apache/phoenix,"https://github.com/apache/phoenix/tree/master/phoenix-core/
",111,212,1606,64,27,0
apache/phoenix,"https://github.com/apache/phoenix/tree/master/phoenix-pherf/
",111,20,58,3,3,0
apache/phoenix-connectors,"https://github.com/apache/phoenix-connectors/tree/master/phoenix-hive-base/
",14,2,6,0,0,0
apache/phoenix-connectors,"https://github.com/apache/phoenix-connectors/tree/master/phoenix-pig-base/
",14,5,11,3,0,0
apache/phoenix-omid,"https://github.com/apache/phoenix-omid/tree/master/hbase-client/
",17,0,0,0,0,0
apache/phoenix-omid,"https://github.com/apache/phoenix-omid/tree/master/hbase-coprocessor/
",17,0,0,0,0,0
apache/phoenix-omid,"https://github.com/apache/phoenix-omid/tree/master/timestamp-storage/
",17,0,0,0,0,0
apache/phoenix-omid,"https://github.com/apache/phoenix-omid/tree/master/tso-server/
",17,1,1,0,0,0
apache/pinot,"https://github.com/apache/pinot/tree/master/pinot-broker/
",202,20,78,12,10,0
apache/pinot,"https://github.com/apache/pinot/tree/master/pinot-common/
",202,42,205,2,1,0
apache/pinot,"https://github.com/apache/pinot/tree/master/pinot-controller/
",202,69,249,27,17,0
apache/pinot,"https://github.com/apache/pinot/tree/master/pinot-core/
",202,187,670,10,8,0
apache/pinot,"https://github.com/apache/pinot/tree/master/pinot-integration-test-base/
",202,2,0,0,0,0
apache/pinot,"https://github.com/apache/pinot/tree/master/pinot-integration-tests/
",202,38,160,0,0,0
apache/pinot,"https://github.com/apache/pinot/tree/master/pinot-minion/
",202,1,1,0,0,0
apache/pinot,"https://github.com/apache/pinot/tree/master/pinot-segment-local/
",202,103,351,4,1,0
apache/pinot,"https://github.com/apache/pinot/tree/master/pinot-segment-spi/
",202,9,41,3,1,0
apache/pinot,"https://github.com/apache/pinot/tree/master/pinot-server/
",202,7,20,5,5,0
apache/pinot,"https://github.com/apache/pinot/tree/master/pinot-tools/
",202,1,3,0,0,0
apache/pinot,"https://github.com/apache/pinot/tree/master/pinot-clients/pinot-java-client/
",202,11,79,7,1,0
apache/pinot,"https://github.com/apache/pinot/tree/master/pinot-plugins/pinot-batch-ingestion/v0_deprecated/pinot-hadoop/
",202,4,10,1,0,0
apache/pinot,"https://github.com/apache/pinot/tree/master/pinot-plugins/pinot-batch-ingestion/v0_deprecated/pinot-spark/
",202,1,1,0,0,0
apache/plc4x,"https://github.com/apache/plc4x/tree/master/code-generation/protocol-base-mspec/
",52,2,6,0,0,0
apache/plc4x,"https://github.com/apache/plc4x/tree/master/plc4j/tools/connection-cache/
",52,3,14,14,8,0
apache/plc4x,"https://github.com/apache/plc4x/tree/master/plc4j/tools/opm/
",52,7,39,10,0,0
apache/pulsar-adapters,"https://github.com/apache/pulsar-adapters/tree/master/pulsar-log4j2-appender/
",50,3,6,0,0,0
apache/pulsar-adapters,"https://github.com/apache/pulsar-adapters/tree/master/pulsar-storm/
",50,1,3,0,0,0
apache/pulsar-adapters,"https://github.com/apache/pulsar-adapters/tree/master/pulsar-client-kafka-compat/pulsar-client-kafka/
",50,3,7,5,4,0
apache/pulsar-adapters,"https://github.com/apache/pulsar-adapters/tree/master/pulsar-client-kafka-compat/pulsar-client-kafka_0_9/
",50,1,3,2,2,0
apache/pulsar-adapters,"https://github.com/apache/pulsar-adapters/tree/master/tests/pulsar-kafka-compat-client-test/
",50,2,17,0,0,0
apache/pulsar-adapters,"https://github.com/apache/pulsar-adapters/tree/master/tests/pulsar-spark-test/
",50,1,4,1,0,0
apache/pulsar-adapters,"https://github.com/apache/pulsar-adapters/tree/master/tests/pulsar-storm-test/
",50,2,19,5,0,0
apache/qpid-jms,"https://github.com/apache/qpid-jms/tree/master/qpid-jms-client/
",19,173,3411,392,311,0
apache/qpid-proton-j,"https://github.com/apache/qpid-proton-j/tree/master/proton-j/
",35,70,653,30,3,0
apache/ranger,"https://github.com/apache/ranger/tree/master/agents-common/
",84,13,59,3,0,0
apache/ranger,"https://github.com/apache/ranger/tree/master/hbase-agent/
",84,6,55,2,0,0
apache/ranger,"https://github.com/apache/ranger/tree/master/hdfs-agent/
",84,3,18,0,0,0
apache/ranger,"https://github.com/apache/ranger/tree/master/intg/
",84,0,0,0,0,0
apache/ranger,"https://github.com/apache/ranger/tree/master/kms/
",84,0,0,0,0,0
apache/ranger,"https://github.com/apache/ranger/tree/master/plugin-kms/
",84,1,7,0,0,0
apache/ranger,"https://github.com/apache/ranger/tree/master/plugin-kylin/
",84,1,32,0,0,0
apache/ranger,"https://github.com/apache/ranger/tree/master/plugin-nifi-registry/
",84,0,0,0,0,0
apache/ranger,"https://github.com/apache/ranger/tree/master/plugin-nifi/
",84,0,0,0,0,0
apache/ranger,"https://github.com/apache/ranger/tree/master/plugin-sqoop/
",84,1,68,0,0,0
apache/ranger,"https://github.com/apache/ranger/tree/master/security-admin/
",84,3,4,0,0,0
apache/ranger,"https://github.com/apache/ranger/tree/master/tagsync/
",84,0,0,0,0,0
apache/ranger,"https://github.com/apache/ranger/tree/master/ranger-examples/conditions-enrichers/
",84,1,2,1,1,0
apache/ratis,"https://github.com/apache/ratis/tree/master/ratis-grpc/
",59,0,0,0,0,0
apache/ratis,"https://github.com/apache/ratis/tree/master/ratis-metrics/
",59,0,0,0,0,0
apache/ratis,"https://github.com/apache/ratis/tree/master/ratis-server/
",59,21,92,0,0,0
apache/ratis,"https://github.com/apache/ratis/tree/master/ratis-test/
",59,5,11,0,0,0
apache/reef,"https://github.com/apache/reef/tree/master/lang/java/reef-common/
",67,10,35,0,0,0
apache/reef,"https://github.com/apache/reef/tree/master/lang/java/reef-io/
",67,17,44,0,0,0
apache/reef,"https://github.com/apache/reef/tree/master/lang/java/reef-runtime-azbatch/
",67,1,4,2,0,0
apache/reef,"https://github.com/apache/reef/tree/master/lang/java/reef-runtime-local/
",67,4,23,0,0,0
apache/reef,"https://github.com/apache/reef/tree/master/lang/java/reef-runtime-yarn/
",67,2,3,0,0,0
apache/reef,"https://github.com/apache/reef/tree/master/lang/java/reef-applications/reef-vortex/
",67,3,11,0,0,0
apache/rya,"https://github.com/apache/rya/tree/master/sail/
",26,21,62,15,0,0
apache/rya,"https://github.com/apache/rya/tree/master/common/rya.api/
",26,28,58,3,0,0
apache/rya,"https://github.com/apache/rya/tree/master/dao/mongodb.rya/
",26,9,53,0,0,0
apache/rya,"https://github.com/apache/rya/tree/master/extras/indexing/
",26,46,263,6,6,0
apache/rya,"https://github.com/apache/rya/tree/master/extras/rya.reasoning/
",26,6,108,0,0,0
apache/rya,"https://github.com/apache/rya/tree/master/extras/shell/
",26,8,62,45,44,0
apache/rya,"https://github.com/apache/rya/tree/master/web/web.rya/
",26,2,13,0,0,0
apache/rya,"https://github.com/apache/rya/tree/master/extras/kafka.connect/api/
",26,2,6,0,0,0
apache/rya,"https://github.com/apache/rya/tree/master/extras/rya.export/export.accumulo/
",26,3,14,1,0,0
apache/rya,"https://github.com/apache/rya/tree/master/extras/rya.geoindexing/geo.mongo/
",26,3,18,0,0,0
apache/rya,"https://github.com/apache/rya/tree/master/extras/rya.pcj.fluo/pcj.fluo.app/
",26,16,41,2,1,0
apache/rya,"https://github.com/apache/rya/tree/master/extras/rya.streams/api/
",26,2,12,2,0,0
apache/rya,"https://github.com/apache/rya/tree/master/extras/rya.streams/client/
",26,1,2,1,0,0
apache/rya,"https://github.com/apache/rya/tree/master/extras/rya.streams/geo/
",26,0,0,0,0,0
apache/rya,"https://github.com/apache/rya/tree/master/extras/rya.streams/integration/
",26,1,1,0,0,0
apache/rya,"https://github.com/apache/rya/tree/master/extras/rya.streams/kafka/
",26,10,26,9,0,0
apache/rya,"https://github.com/apache/rya/tree/master/extras/rya.streams/query-manager/
",26,7,35,16,0,0
apache/servicecomb-pack,"https://github.com/apache/servicecomb-pack/tree/master/alpha/alpha-core/
",55,5,14,0,0,0
apache/servicecomb-pack,"https://github.com/apache/servicecomb-pack/tree/master/alpha/alpha-fsm/
",55,4,30,0,0,0
apache/servicecomb-pack,"https://github.com/apache/servicecomb-pack/tree/master/alpha/alpha-server/
",55,16,77,16,1,0
apache/servicecomb-pack,"https://github.com/apache/servicecomb-pack/tree/master/alpha/alpha-ui/
",55,0,0,0,0,0
apache/servicecomb-pack,"https://github.com/apache/servicecomb-pack/tree/master/omega/omega-spring-tx/
",55,3,15,0,0,0
apache/servicecomb-pack,"https://github.com/apache/servicecomb-pack/tree/master/omega/omega-transaction/
",55,13,44,4,0,0
apache/servicecomb-pack,"https://github.com/apache/servicecomb-pack/tree/master/omega/omega-connector/omega-connector-grpc/
",55,7,38,5,0,0
apache/servicecomb-saga-actuator,"https://github.com/apache/servicecomb-saga-actuator/tree/master/saga-core-akka/
",37,6,35,1,0,0
apache/servicecomb-saga-actuator,"https://github.com/apache/servicecomb-saga-actuator/tree/master/saga-core/
",37,17,48,1,0,0
apache/servicecomb-saga-actuator,"https://github.com/apache/servicecomb-saga-actuator/tree/master/saga-format/
",37,8,19,0,0,0
apache/shardingsphere-elasticjob,"https://github.com/apache/shardingsphere-elasticjob/tree/master/elasticjob-cloud/elasticjob-cloud-common/
",84,2,28,0,0,0
apache/shardingsphere-elasticjob,"https://github.com/apache/shardingsphere-elasticjob/tree/master/elasticjob-cloud/elasticjob-cloud-executor/
",84,5,33,2,1,0
apache/shardingsphere-elasticjob,"https://github.com/apache/shardingsphere-elasticjob/tree/master/elasticjob-cloud/elasticjob-cloud-scheduler/
",84,53,329,116,32,2
apache/shardingsphere-elasticjob,"https://github.com/apache/shardingsphere-elasticjob/tree/master/elasticjob-infra/elasticjob-infra-common/
",84,28,92,3,1,0
apache/shardingsphere-elasticjob,"https://github.com/apache/shardingsphere-elasticjob/tree/master/elasticjob-infra/elasticjob-restful/
",84,12,35,7,3,0
apache/shardingsphere-elasticjob,"https://github.com/apache/shardingsphere-elasticjob/tree/master/elasticjob-lite/elasticjob-lite-core/
",84,51,313,146,42,0
apache/shardingsphere-elasticjob,"https://github.com/apache/shardingsphere-elasticjob/tree/master/elasticjob-lite/elasticjob-lite-lifecycle/
",84,10,48,26,0,0
apache/shardingsphere-elasticjob,"https://github.com/apache/shardingsphere-elasticjob/tree/master/elasticjob-ecosystem/elasticjob-executor/elasticjob-executor-kernel/
",84,2,17,6,0,0
apache/shardingsphere-elasticjob,"https://github.com/apache/shardingsphere-elasticjob/tree/master/elasticjob-ecosystem/elasticjob-tracing/elasticjob-tracing-api/
",84,5,12,0,0,0
apache/shardingsphere-elasticjob,"https://github.com/apache/shardingsphere-elasticjob/tree/master/elasticjob-ecosystem/elasticjob-tracing/elasticjob-tracing-rdb/
",84,7,28,3,2,2
apache/shardingsphere-elasticjob,"https://github.com/apache/shardingsphere-elasticjob/tree/master/elasticjob-infra/elasticjob-registry-center/elasticjob-registry-center-api/
",84,2,7,0,0,0
apache/shardingsphere-elasticjob,"https://github.com/apache/shardingsphere-elasticjob/tree/master/elasticjob-lite/elasticjob-lite-spring/elasticjob-lite-spring-boot-starter/
",84,4,12,0,0,0
apache/shardingsphere-elasticjob,"https://github.com/apache/shardingsphere-elasticjob/tree/master/elasticjob-lite/elasticjob-lite-spring/elasticjob-lite-spring-namespace/
",84,21,9,0,0,0
apache/shardingsphere-elasticjob,"https://github.com/apache/shardingsphere-elasticjob/tree/master/elasticjob-ecosystem/elasticjob-error-handler/elasticjob-error-handler-type/elasticjob-error-handler-dingtalk/
",84,2,8,0,0,0
apache/shardingsphere-elasticjob,"https://github.com/apache/shardingsphere-elasticjob/tree/master/elasticjob-ecosystem/elasticjob-error-handler/elasticjob-error-handler-type/elasticjob-error-handler-email/
",84,2,5,1,0,0
apache/shardingsphere-elasticjob,"https://github.com/apache/shardingsphere-elasticjob/tree/master/elasticjob-ecosystem/elasticjob-error-handler/elasticjob-error-handler-type/elasticjob-error-handler-general/
",84,5,10,0,0,0
apache/shardingsphere-elasticjob,"https://github.com/apache/shardingsphere-elasticjob/tree/master/elasticjob-ecosystem/elasticjob-error-handler/elasticjob-error-handler-type/elasticjob-error-handler-wechat/
",84,2,7,0,0,0
apache/shardingsphere-elasticjob,"https://github.com/apache/shardingsphere-elasticjob/tree/master/elasticjob-infra/elasticjob-registry-center/elasticjob-regitry-center-provider/elasticjob-registry-center-zookeeper-curator/
",84,12,27,1,0,0
apache/shiro,"https://github.com/apache/shiro/tree/master/support/spring-boot/spring-boot-starter/
",55,0,0,0,0,0
apache/skywalking-java,"https://github.com/apache/skywalking-java/tree/master/apm-sniffer/apm-agent-core/
",383,42,92,5,0,0
apache/skywalking-java,"https://github.com/apache/skywalking-java/tree/master/test/plugin/runner-helper/
",383,3,3,0,0,0
apache/sling-org-apache-sling-app-cms,"https://github.com/apache/sling-org-apache-sling-app-cms/tree/master/api/
",10,5,9,2,0,0
apache/sling-org-apache-sling-app-cms,"https://github.com/apache/sling-org-apache-sling-app-cms/tree/master/core/
",10,33,95,46,17,0
apache/sling-org-apache-sling-app-cms,"https://github.com/apache/sling-org-apache-sling-app-cms/tree/master/reference/
",10,18,64,26,11,0
apache/storm,"https://github.com/apache/storm/tree/master/storm-server/
",280,46,215,36,22,0
apache/storm,"https://github.com/apache/storm/tree/master/storm-webapp/
",280,9,60,20,0,0
apache/storm,"https://github.com/apache/storm/tree/master/external/storm-cassandra/
",280,1,3,0,0,0
apache/storm,"https://github.com/apache/storm/tree/master/external/storm-elasticsearch/
",280,9,22,1,0,0
apache/storm,"https://github.com/apache/storm/tree/master/external/storm-hbase/
",280,3,10,0,0,0
apache/storm,"https://github.com/apache/storm/tree/master/external/storm-hdfs-blobstore/
",280,2,6,0,0,0
apache/storm,"https://github.com/apache/storm/tree/master/external/storm-hdfs/
",280,3,12,0,0,0
apache/storm,"https://github.com/apache/storm/tree/master/external/storm-hive/
",280,0,0,0,0,0
apache/storm,"https://github.com/apache/storm/tree/master/external/storm-kafka-client/
",280,26,99,28,7,0
apache/storm,"https://github.com/apache/storm/tree/master/external/storm-redis/
",280,3,9,4,0,0
apache/storm,"https://github.com/apache/storm/tree/master/external/storm-rocketmq/
",280,7,12,0,0,0
apache/storm,"https://github.com/apache/storm/tree/master/sql/storm-sql-core/
",280,0,0,0,0,0
apache/storm,"https://github.com/apache/storm/tree/master/sql/storm-sql-runtime/
",280,0,0,0,0,0
apache/storm,"https://github.com/apache/storm/tree/master/sql/storm-sql-external/storm-sql-hdfs/
",280,0,0,0,0,0
apache/storm,"https://github.com/apache/storm/tree/master/sql/storm-sql-external/storm-sql-kafka/
",280,0,0,0,0,0
apache/storm,"https://github.com/apache/storm/tree/master/sql/storm-sql-external/storm-sql-mongodb/
",280,0,0,0,0,0
apache/storm,"https://github.com/apache/storm/tree/master/sql/storm-sql-external/storm-sql-redis/
",280,0,0,0,0,0
apache/streams,"https://github.com/apache/streams/tree/master/streams-config/
",17,2,16,0,0,0
apache/streams,"https://github.com/apache/streams/tree/master/streams-components/streams-http/
",17,1,1,0,0,0
apache/streams,"https://github.com/apache/streams/tree/master/streams-contrib/streams-persist-filebuffer/
",17,0,0,0,0,0
apache/streams,"https://github.com/apache/streams/tree/master/streams-contrib/streams-provider-facebook/
",17,2,7,0,0,0
apache/streams,"https://github.com/apache/streams/tree/master/streams-contrib/streams-provider-instagram/
",17,1,2,0,0,0
apache/streams,"https://github.com/apache/streams/tree/master/streams-contrib/streams-provider-rss/
",17,2,2,0,0,0
apache/streams,"https://github.com/apache/streams/tree/master/streams-contrib/streams-provider-twitter/
",17,3,16,1,0,0
apache/streams,"https://github.com/apache/streams/tree/master/streams-contrib/streams-provider-youtube/
",17,6,18,0,0,0
apache/streams,"https://github.com/apache/streams/tree/master/streams-runtimes/streams-runtime-local/
",17,8,43,7,0,0
apache/streams,"https://github.com/apache/streams/tree/master/streams-contrib/streams-provider-google/google-gplus/
",17,1,3,0,0,0
apache/struts,"https://github.com/apache/struts/tree/master/core/
",61,290,30,1,0,0
apache/submarine,"https://github.com/apache/submarine/tree/master/submarine-client/
",60,0,0,0,0,0
apache/submarine,"https://github.com/apache/submarine/tree/master/submarine-commons/commons-cluster/
",60,1,2,0,0,0
apache/submarine,"https://github.com/apache/submarine/tree/master/submarine-server/server-core/
",60,35,104,17,3,0
apache/submarine,"https://github.com/apache/submarine/tree/master/submarine-workbench/interpreter/python-interpreter/
",60,2,4,0,0,0
